id,vendor,product_name,units,brand,max_price,min_price,avg_price,days_with_price_data
3683527,TandT,TRADITION JASMINE GREEN TEA,,,8.24,13.99,9.49084951456311,412
920289,Galleria,HAPPY CLOVER SWISS ROLL CAKE GREEN TEA 200G,EA,,6.99,5.98,6.18867768595041,242
3683538,TandT,Dmdq Green Tea (250g),250g,,8.79,5.18,7.91755555555556,180
918075,Galleria,LOTTE CHOCOPIE GREEN TEA 336G,EA,,6.99,4.98,5.63189873417722,158
918437,Galleria,GOLDEN BONBON GREEN TEA NOUGAT 454G,BX,,16.99,16.99,16.99,157
919265,Galleria,EVERGREEN BUBBLE MILK TEA GREEN TEA 480ML,EA,,3.49,3.49,3.49,157
920640,Galleria,CHORIPDONG ROASTED GRAIN POWDER WITH GREEN TEA 1KG,EA,,9.99,9.99,9.99,157
918725,Galleria,HIME GREEN TEA NOODLE 640G,EA,,7.99,7.99,7.99,156
918814,Galleria,AOI CHA SOBA DRIED BUCKWHEAT GREENTEA NOODLE 240G,EA,,4.99,3.99,4.81051282051282,156
918815,Galleria,AOI SOMEN DRIED THIN GREENTEA NOODLE 240G,EA,,4.99,3.99,4.81051282051282,156
919027,Galleria,DAMTUH COLD BREWED SHINE MUSCAT FLAVOR GREEN TEA 36G,PK,,6.99,6.99,6.99,156
919093,Galleria,NOKCHAWON GREEN TEA WITH BROWN RICE 100TB 120G,PK,,10.99,10.99,10.99,156
919095,Galleria,NOKCHAWON ORGANIC GREEN TEA 50T 60G,PK,,7.99,7.99,7.99,156
919097,Galleria,NOKCHWON ORGANIC GREEN TEA WITH BROWN RICE 60G,PK,,6.49,6.49,6.49,156
921152,Galleria,GWANGCHEON NH ROASTED GREEN TEA LAVER 200G,PK,,21.99,16.97,19.0003846153846,156
921153,Galleria,GWANGCHEON NH ROASTED GREEN TEA LAVER 48G,PK,,7.99,5.99,6.86179487179487,156
921154,Galleria,GWANGCHEON NH ROASTED GREEN TEA LAVER 60G,PK,,6.49,5.99,6.21435897435897,156
3683076,TandT,Yibao Green Tea Drink (430ml),430ml,,2.19,1.99,1.99641025641026,156
917470,Galleria,HIME GREEN TEA ICE CREAM 1L,EA,,7.49,7.49,7.49,155
917511,Galleria,SHIRAKIKU GREEN TEA ICE CREAM 1L,EA,,5.98,5.98,5.98,155
918939,Galleria,COCA COLA PEACE GREEN TEA 695ML,EA,,1.49,1.49,1.49,155
918954,Galleria,ITOEN GREEN TEA 600ML,EA,,3.49,3.49,3.49,155
918963,Galleria,MATCH SUPER PREMIUM JAPANESE GREEN TEA 200G,EA,,9.99,9.49,9.76741935483871,155
918976,Galleria,PEACE TEA MANGO GREEN TEA 695ML,EA,,1.29,1.29,1.29,155
918981,Galleria,PREMIUM JAPANESE GREEN TEA 300G,EA,,9.99,8.98,9.76845161290323,155
918983,Galleria,SHIZUOKA GREEN TEA 31G,EA,,3.49,2.98,3.28929032258065,155
919011,Galleria,YAMAMOTOYAMA SENCHA GREEN TEA 16bag,EA,,4.99,4.99,4.99,155
919062,Galleria,ITOEN GREEN TEA (OI OCHA) 40G,EA,,6.48,5.98,6.3058064516129,155
919063,Galleria,ITOEN GREEN TEA BAG JASMINE 30g,EA,,8.99,8.99,8.99,155
919064,Galleria,ITOEN GREEN TEA BAG LEMONGRASS 30g,EA,,8.99,8.99,8.99,155
919065,Galleria,ITOEN GREEN TEA BAG TRADITIONAL 30g,EA,,8.99,8.99,8.99,155
919066,Galleria,ITOEN MATCHA GREEN TEA 120g,EA,,13.49,13.49,13.49,155
919071,Galleria,ITOEN ROASTED GREEN TEA HOUJI CHA 2L,EA,,5.98,5.98,5.98,155
919072,Galleria,ITOEN ROASTED GREEN TEA TEA BAG 30g,EA,,6.48,5.98,6.3058064516129,155
918957,Galleria,KAKIEN JAPANESE GREEN TEA POWDER 30G,EA,,11.49,10.99,11.271045751634,153
1695348,Loblaws,"Gum,  Fresh Mint with Green Tea Extract",50ea,Mentos,4.99,4.99,4.99,153
917456,Galleria,GREEN TEA MOCHI ICE CREAM 8P 226G,EA,,7.99,7.99,7.99,152
1697608,Loblaws,Matcha Green Tea Ice Cream,450ml,Haagen Dazs,6.99,4.99,6.14427631578947,152
